Pathway,Importance,Std
Pperoxisome,0.11548077767157623,0.12756780494665126
Interferon Gamma Response,0.05916492289083658,0.09238527825865306
IL-6/JAK/STAT3 Signaling,0.05516293329098143,0.08973561672909798
Allograft Rejection,0.050999338512781295,0.08310343248775268
Glycolysis,0.04355444380235838,0.05139594096015616
mTORC1 Signaling,0.0411217285222639,0.0648439148427238
Complement,0.04101852352906213,0.07096006505066349
Inflammatory Response,0.040722925353517056,0.06770838003807769
IL-2/STAT5 Signaling,0.03879135978570853,0.06810054442409491
TNF-alpha Signaling via NF-kB,0.03455947084542292,0.057986470880150416
Bile Acid Metabolism,0.030652193627946706,0.051665249379413004
Estrogen Response Early,0.029363361892500852,0.04090106108030106
Interferon Alpha Response,0.028964162926796672,0.05655462848279768
PI3K/AKT/mTOR  Signaling,0.028358060629106608,0.03812583035001516
Myogenesis,0.027798437519304157,0.037904655428063226
Adipogenesis,0.026667166558246885,0.034784627023786534
heme Metabolism,0.022073485712570045,0.030319562267027842
Pancreas Beta Cells,0.021184104810808523,0.029383273324275788
Androgen Response,0.020948136707102247,0.02922638719583607
Coagulation,0.019001248846728883,0.03027584709714481
KRAS Signaling Up,0.018257804233511553,0.028833929405888026
Fatty Acid Metabolism,0.018095625249662663,0.030536139536375784
UV Response Dn,0.017673355386356303,0.028266681288423374
Apical Junction,0.017559964037789182,0.02923874138832219
KRAS Signaling Dn,0.015772004463510507,0.024651088033547746
Epithelial Mesenchymal Transition,0.015132918886042686,0.026172502196780707
p53 Pathway,0.015026877376335273,0.02343507722489695
UV Response Up,0.01482390946617337,0.021415777816687725
Estrogen Response Late,0.01449425413399318,0.02293783537112594
Hypoxia,0.014374577777082996,0.023645749503995953
Angiogenesis,0.014186919518201937,0.0228478545376552
Spermatogenesis,0.013349896546241998,0.022036942979067446
Apoptosis,0.01232780759748099,0.02414212159723397
Xenobiotic Metabolism,0.012142025240577593,0.021085693096736337
Apical Surface,0.011195276651419764,0.019534438211764062
