Pathway,Importance,Std
Pperoxisome,0.11548077767157623,0.12756780494665126
Interferon Gamma Response,0.05916492289083658,0.09238527825865306
IL-6/JAK/STAT3 Signaling,0.05516293329098143,0.08973561672909798
Allograft Rejection,0.050999338512781295,0.08310343248775268
Glycolysis,0.04355444380235838,0.05139594096015616
mTORC1 Signaling,0.0411217285222639,0.0648439148427238
Complement,0.04101852352906213,0.07096006505066349
Inflammatory Response,0.040722925353517056,0.06770838003807769
IL-2/STAT5 Signaling,0.03879135978570853,0.06810054442409491
TNF-alpha Signaling via NF-kB,0.03455947084542292,0.057986470880150416
Bile Acid Metabolism,0.030652193627946706,0.051665249379413004
Estrogen Response Early,0.029363361892500852,0.04090106108030106
Interferon Alpha Response,0.028964162926796672,0.05655462848279768
PI3K/AKT/mTOR  Signaling,0.028358060629106608,0.03812583035001516
Myogenesis,0.027798437519304157,0.037904655428063226
