gene,importance,mean_non_msi_h,mean_msi_h,higher_in
KRT23,0.010308432605140961,7.073425948897961,4.125912469940852,Non-MSI-H
EREG,0.00894680058850408,7.015911856764026,4.654397157055536,Non-MSI-H
RASSF10,0.008065632385613282,5.243976792194292,3.3198778919496057,Non-MSI-H
ACE2,0.007443012951506801,7.10020290795835,5.2405375643897205,Non-MSI-H
QPRT,0.006635975340775569,7.866936530720716,5.506794404357514,Non-MSI-H
PLCB4,0.006570546747406921,8.348291662889267,6.862051200128717,Non-MSI-H
MCMDC2,0.006567545137789906,4.2775876067660725,2.873435526503214,Non-MSI-H
PTPRD,0.006528536737092936,6.905358347683601,4.924721383707266,Non-MSI-H
MSH4,0.006515664825509051,1.5074357564800251,3.054848697223743,MSI-H
CKB,0.006044289076473268,9.315180847564417,8.179296130285547,Non-MSI-H
ADGRG6,0.00573777795381711,6.194843043067746,7.342502540945129,MSI-H
CEACAM6,0.005491873031514487,10.686399126143288,9.50020027014304,Non-MSI-H
ACRP1,0.005312036516890257,3.1831664014143164,1.1915036777899366,Non-MSI-H
LOC105375431,0.005216803728473695,5.781558242842516,4.147273308006395,Non-MSI-H
SPATA25,0.005018209820463663,3.837616342328398,2.378133156761373,Non-MSI-H
TUSC8,0.004983406568946366,4.759987577512153,2.27468207950872,Non-MSI-H
VANGL2,0.004728064563730577,6.400714636968663,4.848585200285061,Non-MSI-H
IL1R2,0.004451599729775804,5.228569863474494,6.076858693104008,MSI-H
MMP20,0.004335877307862507,1.6362214613624406,0.45973278663008954,Non-MSI-H
ZNF518B,0.004282642937534225,5.629296981021216,4.82097689690385,Non-MSI-H
FGGY,0.004252669334295332,6.732377482881239,5.988015234540153,Non-MSI-H
BCL11A,0.004228534466118316,6.571545607583032,5.513170028803726,Non-MSI-H
PRAP1,0.003983610421814232,8.003327181959056,5.7866143222363435,Non-MSI-H
LINC02177,0.0038970233242602227,3.078412387022962,1.8578148838738242,Non-MSI-H
GNG4,0.0038784309577231148,6.806121071908552,3.6692817041247854,Non-MSI-H
TNNT1,0.0038480023113504737,3.0851362439388326,5.51490319669485,MSI-H
MGC32805,0.003770689087982776,4.107515036707589,2.0544585441726224,Non-MSI-H
SLC35D3,0.0037511341181279533,4.749884797905641,2.4817706262280845,Non-MSI-H
ARID3A,0.0036738605369968135,7.4430621100310175,6.291189889891528,Non-MSI-H
MUC12,0.0036521495767999025,8.330298554336844,6.263601649359284,Non-MSI-H
TEKT5,0.0035708150587082667,2.3763904560196685,1.1448150057216926,Non-MSI-H
CEL,0.003532685111891288,6.063266517256212,3.1146493965039657,Non-MSI-H
UMODL1,0.003512026126396747,3.4322102189484793,1.891070015051465,Non-MSI-H
GABRE,0.0035064654798815406,7.000193414875279,5.624366943731364,Non-MSI-H
C1orf105,0.0035037216693842863,2.3864060134029095,1.0563923972540135,Non-MSI-H
NPFFR1,0.0034935692821165374,4.864390060440456,3.1981371090717334,Non-MSI-H
SLC39A5,0.0034737710861620155,7.95857825544036,5.772175027869228,Non-MSI-H
PKLR,0.00343066219184743,3.8372783306630334,1.6407980901875074,Non-MSI-H
ERO1B,0.003417031411176096,4.9366648278596585,5.417646985949977,MSI-H
TINAG,0.0033314946591904812,5.399580527507068,3.39389778978707,Non-MSI-H
ADTRP,0.0033160430069634904,5.4326726173112085,4.93508471786091,Non-MSI-H
RUBCNL,0.003259526654437386,7.975676660427421,5.890498085297957,Non-MSI-H
SPTB,0.0032533734111839553,3.3931901768540156,4.257247370362938,MSI-H
BMP7,0.003221472005396283,6.777912903106963,5.647387089184234,Non-MSI-H
ADD3-AS1,0.0032196697621623416,4.4049983274535744,3.1751405113934137,Non-MSI-H
PLAGL1,0.00320597797861729,6.788667227322616,5.829065861535921,Non-MSI-H
SAMD13,0.003204367650210131,5.490879807046282,4.67228421989635,Non-MSI-H
LY6G6D,0.0031966764532063863,4.986805758158273,0.895952717988782,Non-MSI-H
LINC00886,0.0031861975331204328,3.6693115665405087,2.4126092769531846,Non-MSI-H
SATB2,0.0031759845358574896,8.138888533168995,7.09825477585724,Non-MSI-H
SMIM10L2A,0.003143778507303725,3.505589512720026,2.502766391681005,Non-MSI-H
GBP4,0.0031209544631899885,6.530083570441238,7.643333830208057,MSI-H
MEP1A,0.003077596915228496,7.924383294451396,6.226352863582941,Non-MSI-H
KNG1,0.003061256477748435,2.783770040991462,0.8788796392069801,Non-MSI-H
TMOD1,0.0030284513525964396,3.391075740663067,3.9798585423347066,MSI-H
RPS4XP7,0.00299106615834266,2.748232910138585,1.390147274103348,Non-MSI-H
KLF7,0.0029648046557260044,6.726635852102985,5.750407429530345,Non-MSI-H
GDAP1L1,0.0029606711654302877,1.7491270569847015,0.7130211031287714,Non-MSI-H
POU5F1B,0.0029368636631251924,5.522285744359311,3.3625952770025926,Non-MSI-H
C5orf52,0.0029250020552801076,3.452508844949588,2.0205665008293296,Non-MSI-H
LOXL1-AS1,0.0028947086343591253,4.022875629176482,4.852816234559134,MSI-H
F10,0.0028845876710238694,5.052504754725855,3.908604738341101,Non-MSI-H
C2CD4A,0.002859775503020031,6.217408855202754,7.056707433139136,MSI-H
MRPS31P5,0.002850125279082384,3.683645382125452,2.9370283410281615,Non-MSI-H
SLC39A2,0.002849913920094179,3.5549964526479214,1.51487681192579,Non-MSI-H
ALOX12B,0.0028439628267456396,2.215431095823811,3.4086741670626814,MSI-H
ISM2,0.002804230981816293,3.4585623515731747,1.2602380171497942,Non-MSI-H
LOC100506688,0.002750325371211591,3.179351994812585,2.2080220983651073,Non-MSI-H
TLE6,0.0027342698816318566,3.416384758360721,4.350191529894592,MSI-H
RXFP4,0.00273424854100498,4.445526749438194,3.1118347380980813,Non-MSI-H
CIITA,0.002725652559170872,5.972857340528654,6.937367574830541,MSI-H
KLHL3,0.002723851489309052,5.271771696052082,4.202212764177933,Non-MSI-H
SLC2A12,0.002693569143736179,5.42522550754577,4.204941639267485,Non-MSI-H
CXCL14,0.0026752033593768977,8.409986110337375,6.549996178302173,Non-MSI-H
KHDRBS3,0.0026641620863056947,6.32570141274993,4.769260336497662,Non-MSI-H
NODAL,0.00264394600569692,2.3479323410545114,1.1643294508250348,Non-MSI-H
