gene,importance,mean_non_msi_h,mean_msi_h,higher_in
KRT23,0.010308432605140961,7.073425948897961,4.125912469940852,Non-MSI-H
EREG,0.00894680058850408,7.015911856764026,4.654397157055536,Non-MSI-H
RASSF10,0.008065632385613282,5.243976792194292,3.3198778919496057,Non-MSI-H
ACE2,0.007443012951506801,7.10020290795835,5.2405375643897205,Non-MSI-H
QPRT,0.006635975340775569,7.866936530720716,5.506794404357514,Non-MSI-H
PLCB4,0.006570546747406921,8.348291662889267,6.862051200128717,Non-MSI-H
MCMDC2,0.006567545137789906,4.2775876067660725,2.873435526503214,Non-MSI-H
PTPRD,0.006528536737092936,6.905358347683601,4.924721383707266,Non-MSI-H
MSH4,0.006515664825509051,1.5074357564800251,3.054848697223743,MSI-H
CKB,0.006044289076473268,9.315180847564417,8.179296130285547,Non-MSI-H
