Pathway,Gene,Effect,p_value
IL-6/JAK/STAT3 Signaling,REG1A,2.181294580010589,4.5045833154636944e-08
TNF-alpha Signaling via NF-kB,DUSP4,1.8294312547934446,1.3068532170520692e-23
TNF-alpha Signaling via NF-kB,SERPINB2,1.5620663213879122,7.656364362663234e-11
Complement,SERPINB2,1.5620663213879122,7.656364362663234e-11
IL-6/JAK/STAT3 Signaling,CXCL13,1.4419048628293867,1.555589813500845e-11
Allograft Rejection,CXCL13,1.4419048628293867,1.555589813500845e-11
IL-6/JAK/STAT3 Signaling,PLA2G2A,1.4186033676160728,6.4396136922365e-09
Inflammatory Response,CXCL9,1.3729474536466055,5.740189690019654e-12
Interferon Gamma Response,CXCL9,1.3729474536466055,5.740189690019654e-12
Allograft Rejection,CXCL9,1.3729474536466055,5.740189690019654e-12
IL-6/JAK/STAT3 Signaling,CXCL9,1.3729474536466055,5.740189690019654e-12
Complement,PLA2G4A,1.2799568247226771,1.3340132331687064e-11
Interferon Gamma Response,PLA2G4A,1.2799568247226771,1.3340132331687064e-11
Allograft Rejection,IFNG,1.2523044842474855,6.959656620198835e-14
Interferon Gamma Response,IDO1,1.245840498820396,7.201195998030596e-09
Inflammatory Response,MARCO,1.2413693487683521,1.386688127101797e-06
Allograft Rejection,KLRD1,1.2363117292704024,1.5954245243484892e-13
Inflammatory Response,TNFSF9,1.2305963507544835,2.185144179644168e-14
TNF-alpha Signaling via NF-kB,TNFSF9,1.2305963507544835,2.185144179644168e-14
TNF-alpha Signaling via NF-kB,CXCL10,1.2294252207534484,9.636292024302389e-12
IL-6/JAK/STAT3 Signaling,CXCL10,1.2294252207534484,9.636292024302389e-12
Interferon Gamma Response,CXCL10,1.2294252207534484,9.636292024302389e-12
Inflammatory Response,CXCL10,1.2294252207534484,9.636292024302389e-12
IL-2/STAT5 Signaling,CXCL10,1.2294252207534484,9.636292024302389e-12
Allograft Rejection,GZMA,1.2202236029626325,8.136185281623289e-16
Interferon Gamma Response,GZMA,1.2202236029626325,8.136185281623289e-16
Complement,GZMA,1.2202236029626325,8.136185281623289e-16
Interferon Gamma Response,GBP4,1.21993346114213,2.7492316092275586e-13
IL-2/STAT5 Signaling,GBP4,1.21993346114213,2.7492316092275586e-13
Interferon Gamma Response,SECTM1,1.123288470075022,1.8661268449300312e-14
Interferon Gamma Response,CIITA,1.096824038214356,3.101505587018333e-11
Allograft Rejection,NCR1,1.094357312776681,4.331112463399985e-14
Glycolysis,CHST6,1.0905054776871133,3.540627726894333e-11
IL-2/STAT5 Signaling,SPP1,1.0754887748751205,1.9068385403483096e-06
Inflammatory Response,SLC4A4,1.057970185977375,1.1602551536436019e-06
Interferon Gamma Response,CCL5,1.0499273078648503,4.27637448891925e-11
Allograft Rejection,CCL5,1.0499273078648503,4.27637448891925e-11
Inflammatory Response,CCL5,1.0499273078648503,4.27637448891925e-11
Complement,CCL5,1.0499273078648503,4.27637448891925e-11
TNF-alpha Signaling via NF-kB,CCL5,1.0499273078648503,4.27637448891925e-11
Allograft Rejection,CRTAM,1.0399526883516792,4.5744756392531187e-10
Interferon Gamma Response,CD274,1.0307277351785116,2.5019419210768213e-13
Allograft Rejection,PRKCG,1.019854908837571,4.324628109998954e-06
Allograft Rejection,PRF1,1.0097400609225415,1.2758815314503749e-12
Allograft Rejection,FASLG,1.0052109765485588,2.876088954707594e-11
Allograft Rejection,CCL4,0.9806974054219983,4.774930880899997e-13
TNF-alpha Signaling via NF-kB,CCL4,0.9806974054219983,4.774930880899997e-13
Inflammatory Response,CLEC5A,0.9798067441320661,4.205248017259307e-08
IL-6/JAK/STAT3 Signaling,IL1R2,0.9625088409568114,2.749311374661622e-09
IL-2/STAT5 Signaling,IL1R2,0.9625088409568114,2.749311374661622e-09
Interferon Gamma Response,BST2,0.957998169937599,6.47983338648176e-09
Inflammatory Response,BST2,0.957998169937599,6.47983338648176e-09
Inflammatory Response,CXCL8,0.9402951071050136,2.6977308267014193e-06
Allograft Rejection,CD8A,0.9367118917354675,2.028465750580587e-09
Interferon Gamma Response,OAS2,0.9214934220669289,2.3367456186485525e-09
Inflammatory Response,AQP9,0.9209736874815393,1.0344232046800194e-05
Glycolysis,HS6ST2,0.9118776212157984,0.0007391811082309923
TNF-alpha Signaling via NF-kB,CXCL11,0.9068472120347488,4.05451858391026e-06
IL-6/JAK/STAT3 Signaling,CXCL11,0.9068472120347488,4.05451858391026e-06
Inflammatory Response,CXCL11,0.9068472120347488,4.05451858391026e-06
Interferon Gamma Response,CXCL11,0.9068472120347488,4.05451858391026e-06
Complement,MMP12,0.9031352891012308,5.5328991099972777e-08
Allograft Rejection,CD7,0.8966088238489887,9.8454952699405e-12
Allograft Rejection,HLA-DRA,0.890989079281022,4.9835339354313754e-09
IL-2/STAT5 Signaling,EOMES,0.8825776329163517,4.121699763727083e-07
TNF-alpha Signaling via NF-kB,BCL2A1,0.8801160528799858,7.424621147660085e-09
Inflammatory Response,PTGER2,0.8721732410574656,5.420757459764839e-09
IL-2/STAT5 Signaling,PTGER2,0.8721732410574656,5.420757459764839e-09
Interferon Gamma Response,SAMD9L,0.8668384391537165,1.4460807916326761e-09
TNF-alpha Signaling via NF-kB,PTGS2,0.8662312654883362,1.7916365540566743e-06
Interferon Gamma Response,PTGS2,0.8662312654883362,1.7916365540566743e-06
Inflammatory Response,RASGRP1,0.8604219234239556,1.1321888639381493e-09
Complement,RASGRP1,0.8604219234239556,1.1321888639381493e-09
Interferon Gamma Response,FPR1,0.8527775621648708,2.1911830898242175e-06
