Pathway,Gene,Effect,p_value
Allograft Rejection,CXCL13,1.4419048628293867,1.555589813500845e-11
Allograft Rejection,CXCL9,1.3729474536466055,5.740189690019654e-12
Allograft Rejection,IFNG,1.2523044842474855,6.959656620198835e-14
Allograft Rejection,KLRD1,1.2363117292704024,1.5954245243484892e-13
Allograft Rejection,GZMA,1.2202236029626325,8.136185281623289e-16
Complement,SERPINB2,1.5620663213879122,7.656364362663234e-11
Complement,PLA2G4A,1.2799568247226771,1.3340132331687064e-11
Complement,GZMA,1.2202236029626325,8.136185281623289e-16
Complement,CCL5,1.0499273078648503,4.27637448891925e-11
Complement,MMP12,0.9031352891012308,5.5328991099972777e-08
Glycolysis,CHST6,1.0905054776871133,3.540627726894333e-11
Glycolysis,HS6ST2,0.9118776212157984,0.0007391811082309923
Glycolysis,CXCR4,0.8096758202242782,1.6143094305809442e-09
Glycolysis,CHST4,0.646327177271548,0.06908722011784878
Glycolysis,MIOX,0.6121127506511619,0.013586110216499301
IL-2/STAT5 Signaling,CXCL10,1.2294252207534484,9.636292024302389e-12
IL-2/STAT5 Signaling,GBP4,1.21993346114213,2.7492316092275586e-13
IL-2/STAT5 Signaling,SPP1,1.0754887748751205,1.9068385403483096e-06
IL-2/STAT5 Signaling,IL1R2,0.9625088409568114,2.749311374661622e-09
IL-2/STAT5 Signaling,EOMES,0.8825776329163517,4.121699763727083e-07
IL-6/JAK/STAT3 Signaling,REG1A,2.181294580010589,4.5045833154636944e-08
IL-6/JAK/STAT3 Signaling,CXCL13,1.4419048628293867,1.555589813500845e-11
IL-6/JAK/STAT3 Signaling,PLA2G2A,1.4186033676160728,6.4396136922365e-09
IL-6/JAK/STAT3 Signaling,CXCL9,1.3729474536466055,5.740189690019654e-12
IL-6/JAK/STAT3 Signaling,CXCL10,1.2294252207534484,9.636292024302389e-12
Inflammatory Response,CXCL9,1.3729474536466055,5.740189690019654e-12
Inflammatory Response,MARCO,1.2413693487683521,1.386688127101797e-06
Inflammatory Response,TNFSF9,1.2305963507544835,2.185144179644168e-14
Inflammatory Response,CXCL10,1.2294252207534484,9.636292024302389e-12
Inflammatory Response,SLC4A4,1.057970185977375,1.1602551536436019e-06
Interferon Gamma Response,CXCL9,1.3729474536466055,5.740189690019654e-12
Interferon Gamma Response,PLA2G4A,1.2799568247226771,1.3340132331687064e-11
Interferon Gamma Response,IDO1,1.245840498820396,7.201195998030596e-09
Interferon Gamma Response,CXCL10,1.2294252207534484,9.636292024302389e-12
Interferon Gamma Response,GZMA,1.2202236029626325,8.136185281623289e-16
Pperoxisome,ABCD2,0.5288222719146956,0.00044951845779133846
Pperoxisome,ABCC8,0.4563994342574098,0.0033348652712133467
Pperoxisome,ALDH1A1,0.2688512461202839,0.08291575340369013
Pperoxisome,FADS1,0.09909595223877243,0.48720968015913335
Pperoxisome,CACNA1B,0.04212682778477439,0.5459835227164511
TNF-alpha Signaling via NF-kB,DUSP4,1.8294312547934446,1.3068532170520692e-23
TNF-alpha Signaling via NF-kB,SERPINB2,1.5620663213879122,7.656364362663234e-11
TNF-alpha Signaling via NF-kB,TNFSF9,1.2305963507544835,2.185144179644168e-14
TNF-alpha Signaling via NF-kB,CXCL10,1.2294252207534484,9.636292024302389e-12
TNF-alpha Signaling via NF-kB,CCL5,1.0499273078648503,4.27637448891925e-11
mTORC1 Signaling,CXCR4,0.8096758202242782,1.6143094305809442e-09
mTORC1 Signaling,DAPP1,0.7161336730182208,1.1506140437612424e-05
mTORC1 Signaling,SLC7A11,0.6383288651732677,7.2255828615085e-06
mTORC1 Signaling,SLA,0.614172035204688,4.964412984095105e-06
mTORC1 Signaling,ITGB2,0.6125528489797656,2.1232796352093273e-05
