Pathway,Importance
Pperoxisome,0.11548077767157623
Interferon Gamma Response,0.05916492289083658
IL-6/JAK/STAT3 Signaling,0.05516293329098143
Allograft Rejection,0.050999338512781295
Glycolysis,0.04355444380235838
mTORC1 Signaling,0.0411217285222639
Complement,0.04101852352906213
Inflammatory Response,0.040722925353517056
IL-2/STAT5 Signaling,0.03879135978570853
TNF-alpha Signaling via NF-kB,0.03455947084542292
Bile Acid Metabolism,0.030652193627946706
Estrogen Response Early,0.029363361892500852
Interferon Alpha Response,0.028964162926796672
PI3K/AKT/mTOR  Signaling,0.028358060629106608
Myogenesis,0.027798437519304157
Adipogenesis,0.026667166558246885
heme Metabolism,0.022073485712570045
Pancreas Beta Cells,0.021184104810808523
Androgen Response,0.020948136707102247
Coagulation,0.019001248846728883
KRAS Signaling Up,0.018257804233511553
Fatty Acid Metabolism,0.018095625249662663
UV Response Dn,0.017673355386356303
Apical Junction,0.017559964037789182
KRAS Signaling Dn,0.015772004463510507
Epithelial Mesenchymal Transition,0.015132918886042686
p53 Pathway,0.015026877376335273
UV Response Up,0.01482390946617337
Estrogen Response Late,0.01449425413399318
Hypoxia,0.014374577777082996
Angiogenesis,0.014186919518201937
Spermatogenesis,0.013349896546241998
Apoptosis,0.01232780759748099
Xenobiotic Metabolism,0.012142025240577593
Apical Surface,0.011195276651419764
