Pathway,Gene,Effect,p_value
IL-6/JAK/STAT3 Signaling,REG1A,2.181294580010589,4.5045833154636944e-08
TNF-alpha Signaling via NF-kB,DUSP4,1.8294312547934446,1.3068532170520692e-23
TNF-alpha Signaling via NF-kB,SERPINB2,1.5620663213879122,7.656364362663234e-11
Complement,SERPINB2,1.5620663213879122,7.656364362663234e-11
IL-6/JAK/STAT3 Signaling,CXCL13,1.4419048628293867,1.555589813500845e-11
Allograft Rejection,CXCL13,1.4419048628293867,1.555589813500845e-11
IL-6/JAK/STAT3 Signaling,PLA2G2A,1.4186033676160728,6.4396136922365e-09
Inflammatory Response,CXCL9,1.3729474536466055,5.740189690019654e-12
Interferon Gamma Response,CXCL9,1.3729474536466055,5.740189690019654e-12
Allograft Rejection,CXCL9,1.3729474536466055,5.740189690019654e-12
IL-6/JAK/STAT3 Signaling,CXCL9,1.3729474536466055,5.740189690019654e-12
Complement,PLA2G4A,1.2799568247226771,1.3340132331687064e-11
Interferon Gamma Response,PLA2G4A,1.2799568247226771,1.3340132331687064e-11
Allograft Rejection,IFNG,1.2523044842474855,6.959656620198835e-14
Interferon Gamma Response,IDO1,1.245840498820396,7.201195998030596e-09
Inflammatory Response,MARCO,1.2413693487683521,1.386688127101797e-06
Allograft Rejection,KLRD1,1.2363117292704024,1.5954245243484892e-13
Inflammatory Response,TNFSF9,1.2305963507544835,2.185144179644168e-14
TNF-alpha Signaling via NF-kB,TNFSF9,1.2305963507544835,2.185144179644168e-14
TNF-alpha Signaling via NF-kB,CXCL10,1.2294252207534484,9.636292024302389e-12
