gene,importance,0,1,2,highest_in,lowest_in
CEL,0.011076187010038718,6.031837214412034,3.0607925498230073,5.603143971231858,0,1
RAB27B,0.010135786786161258,5.3417706157921385,7.001798304475154,5.638690223166485,1,0
HMSD,0.008404480458285095,1.5947846564988029,3.173286726546963,1.753026585988059,1,0
TRIM7,0.007833035518976834,4.1862335118186085,6.389920699177896,4.386245474141847,1,0
ACRP1,0.006888312273637872,3.1144215340900634,1.1800744294368029,3.17120392347536,2,1
LY6G6D,0.005470754071445097,4.977508658189955,0.8890822243235214,4.671374144908852,0,1
SLC39A5,0.005451844036197311,7.888055980318314,5.791694968252711,7.797105013007368,0,1
DUSP4,0.005390560470968437,6.4887534066696455,8.387941665972802,6.795572821059496,1,0
AIFM3,0.005352598462521074,6.982989349930789,5.230887762304791,6.956011970180713,0,1
CBLN1,0.005141689908605229,3.4509796006290037,1.8551958400338626,3.6598147751862817,2,1
LY6G6F,0.005130894900758225,2.025600038388944,0.3994971883249178,1.9804956240485474,0,1
QPRT,0.004652355787074096,7.8581556463571385,5.4541625485662815,7.552988099206599,0,1
HOXC-AS2,0.004531904919891508,0.7104823067085914,2.522037714719776,1.1676124846961693,1,0
CELP,0.0041025972617308604,4.822768429223354,1.7907863687897496,4.5990567713529185,0,1
ACE2,0.004003383099101987,7.015052650731541,5.2210481620498275,6.834397418604472,0,1
DLX3,0.003744177428212777,3.1494557333659188,0.8294216063041141,2.9535891424721177,0,1
SYN3,0.0036257468410130847,3.8820765511163815,1.501760333728077,3.596215220516048,0,1
GRM8,0.0035003353316274276,5.801143893455907,3.385409635783415,5.706675155245445,0,1
SLC22A11,0.0033487266683652718,4.046810307823394,1.2941555179640556,3.656639748924401,0,1
EVX1,0.0032351632166820613,4.8524382587722545,2.918677865965113,4.957387241556826,2,1
IHH,0.003205380335348184,7.944148969810314,6.4964331564309274,8.028313582600614,2,1
LOC105371814,0.0031810031397971547,1.912359012562117,3.1894331938163347,2.0218377892929698,1,0
KRT23,0.003160393974114109,7.066382385904192,4.233494151296046,6.64833693318207,0,1
KHDRBS3,0.0031564790215762475,6.28205009597714,4.656779196054882,6.251328745705584,0,1
