gene,importance,0,1,2,highest_in,lowest_in
CEL,0.011076187010038718,6.031837214412034,3.0607925498230073,5.603143971231858,0,1
RAB27B,0.010135786786161258,5.3417706157921385,7.001798304475154,5.638690223166485,1,0
HMSD,0.008404480458285095,1.5947846564988029,3.173286726546963,1.753026585988059,1,0
TRIM7,0.007833035518976834,4.1862335118186085,6.389920699177896,4.386245474141847,1,0
ACRP1,0.006888312273637872,3.1144215340900634,1.1800744294368029,3.17120392347536,2,1
LY6G6D,0.005470754071445097,4.977508658189955,0.8890822243235214,4.671374144908852,0,1
SLC39A5,0.005451844036197311,7.888055980318314,5.791694968252711,7.797105013007368,0,1
DUSP4,0.005390560470968437,6.4887534066696455,8.387941665972802,6.795572821059496,1,0
AIFM3,0.005352598462521074,6.982989349930789,5.230887762304791,6.956011970180713,0,1
CBLN1,0.005141689908605229,3.4509796006290037,1.8551958400338626,3.6598147751862817,2,1
